Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
0f44a542-bda1-4622-8122-0716876ea032,BTC-WAVES,9/4/2017 3:34:01 AM,LIMIT_SELL,0.00111700,778.46817006,0.00000000,0.00217386,0.86954893,0.00111700,False,,0.00000000,False,9/4/2017 3:36:58 AM
3e961729-3093-4570-8fb3-1ffb230ae1ab,BTC-BURST,9/4/2017 3:37:04 AM,LIMIT_BUY,0.00000345,72282.60869565,0.00000000,0.00062294,0.24918973,0.00000345,False,,0.00000000,False,9/4/2017 3:37:05 AM
17caad9e-3d3b-4e87-ae07-1473eb84f35d,BTC-BURST,9/4/2017 3:37:40 AM,LIMIT_BUY,0.00000340,73345.58823529,0.00000000,0.00062343,0.24937499,0.00000340,False,,0.00000000,False,9/4/2017 3:44:14 AM
9f302046-18c1-4d96-b7d7-5c998e7a9056,BTC-NEO,9/4/2017 4:51:24 PM,LIMIT_SELL,0.00459318,343.41762889,0.00000000,0.00394341,1.57737896,0.00459318,False,,0.00000000,False,9/4/2017 4:53:41 PM
af6bd3f1-f5e6-40dd-8ad3-0a9cbeec02ee,BTC-NEO,9/4/2017 4:55:01 PM,LIMIT_SELL,0.00462000,423.89006342,0.00000000,0.00489714,1.95887898,0.00462120,False,,0.00000000,False,9/4/2017 5:18:55 PM
97c4f7a1-4986-460e-ac8d-ea03febaade4,BTC-TRIG,9/4/2017 5:10:26 PM,LIMIT_BUY,0.00016463,6102.03707102,0.00000000,0.00251143,1.00457834,0.00016463,,,,,9/4/2017 5:19:42 PM
2ae28d6a-96da-49f0-97a0-b5ee7d487e54,BTC-TRIG,9/4/2017 5:01:33 PM,LIMIT_BUY,0.00016381,6102.03707102,0.00000000,0.00249890,0.99957466,0.00016381,,,,,9/4/2017 5:19:55 PM
944e865f-d128-45a2-b1c9-d4e68ff1be1c,BTC-TRIG,9/4/2017 5:23:42 PM,LIMIT_BUY,0.00016200,5346.24520373,0.00000000,0.00216522,0.86609171,0.00016200,,,,,9/4/2017 5:26:10 PM
3c0307f5-ddd3-4e99-b70e-8d1b0c2453ba,BTC-TRIG,9/6/2017 7:28:52 AM,LIMIT_SELL,0.00018000,11138.88888889,0.00000000,0.00501249,2.00499998,0.00018000,,,,,9/6/2017 8:25:18 AM
a2a9447a-27a9-489a-ba84-7b6fe5374c5a,BTC-NEO,9/8/2017 6:46:15 AM,LIMIT_BUY,0.00623010,483.13999520,0.00000000,0.00752502,3.01001048,0.00623010,False,,0.00000000,False,9/8/2017 1:29:47 PM
2ff8fd05-d3ce-461e-9add-51d7641430f7,BTC-NEO,9/13/2017 8:50:29 AM,LIMIT_SELL,0.00479800,274.28539342,0.00000000,0.00329002,1.31602127,0.00479800,False,,0.00000000,False,9/13/2017 8:53:08 AM
31a09aaf-c153-45cf-9e93-65bdc959fc9d,BTC-NEO,9/13/2017 8:45:38 AM,LIMIT_SELL,0.00479999,208.85460178,0.00000000,0.00250615,1.00249991,0.00479999,False,,0.00000000,False,9/13/2017 8:54:36 AM
3c5ae26f-126f-43b5-bb8b-1375036fd5f9,BTC-ETH,9/23/2017 5:51:54 PM,LIMIT_BUY,0.07532000,8.11487016,0.00000000,0.00152797,0.61121197,0.07531999,False,,0.00000000,False,9/23/2017 5:59:40 PM
5d037260-e6d0-458b-b85e-7a1ec1f943d0,BTC-ETH,9/24/2017 3:37:54 AM,LIMIT_BUY,0.07770831,7.00000000,6.75000000,0.00004856,0.01942707,0.07770828,False,,0.00000000,False,9/24/2017 3:43:42 AM
eca63616-e809-41be-b60a-ea6a71bba51f,BTC-ETH,9/24/2017 3:43:10 AM,LIMIT_BUY,0.07799991,7.00000000,0.00000000,0.00136484,0.54597354,0.07799622,False,,0.00000000,False,9/24/2017 3:45:06 AM
f4e523d3-572d-4c80-ae03-df7d91101c87,BTC-BURST,9/25/2017 4:36:16 AM,LIMIT_SELL,0.00000211,145628.19693094,0.00000000,0.00076815,0.30727546,0.00000211,False,,0.00000000,False,9/25/2017 5:01:43 AM
c66ae71c-69c6-45d1-9505-969a80861167,BTC-ERC,9/25/2017 5:11:55 AM,LIMIT_BUY,0.00013500,7586.70520231,1767.63096100,0.00195580,0.78234781,0.00010312,,,,,9/25/2017 5:15:49 AM
778e7e01-c6f2-4437-a6c1-f8ef0a142b57,BTC-ERC,9/25/2017 5:16:39 AM,LIMIT_BUY,0.00013310,1770.00000000,0.00000000,0.00058894,0.23558698,0.00013310,,,,,9/25/2017 5:43:56 AM
1e3b9219-3af6-4a4b-b35b-6510c9298418,BTC-STRAT,10/3/2017 6:15:15 AM,LIMIT_SELL,0.00081500,3001.31589780,0.00000000,0.00611517,2.44607245,0.00081500,False,,0.00000000,False,10/3/2017 6:27:59 AM
f4d4b8d3-ab6e-4e38-bd8b-edc25f6150bc,BTC-BTS,10/3/2017 7:46:15 AM,LIMIT_BUY,0.00001420,70246.47887324,0.00000000,0.00249372,0.99749997,0.00001420,False,,0.00000000,False,10/3/2017 8:37:36 AM
80e4cf94-b748-4693-9df5-7a842770d411,BTC-STRAT,10/8/2017 3:51:05 AM,LIMIT_BUY,0.00087800,1133.05920305,0.00000000,0.00248703,0.99482594,0.00087800,False,,0.00000000,False,10/8/2017 2:17:51 PM
107272ea-040f-4612-b549-af584f1f990b,BTC-FLO,10/8/2017 5:51:53 PM,LIMIT_BUY,0.00001793,16689.90518684,0.00000000,0.00074812,0.29925000,0.00001793,False,,0.00000000,False,10/8/2017 6:00:06 PM
45715b9c-d5dd-414e-8cf1-fe52b76fd14b,BTC-STRAT,10/31/2017 8:48:58 AM,LIMIT_SELL,0.00059528,1133.05920305,0.00000000,0.00168621,0.67448747,0.00059528,False,,0.00000000,False,10/31/2017 8:50:20 AM
b09120d5-742e-4112-987a-dcb6148613f9,BTC-ERC,10/8/2017 3:53:22 AM,LIMIT_SELL,0.00011180,7589.07424131,5665.07424131,0.00053775,0.21510320,0.00002834,,,,,11/4/2017 3:04:26 PM
307e8482-6b5c-4f2b-894d-45f062674c4e,BTC-ERC,11/4/2017 3:09:23 PM,LIMIT_SELL,0.00005555,19.62709095,0.00000000,0.00000272,0.00109028,0.00005555,,,,,11/4/2017 3:09:24 PM
e14b815c-0961-47fc-b93e-7fe608a382f4,BTC-ERC,11/4/2017 3:11:05 PM,LIMIT_SELL,0.00005502,160.00000000,0.00000000,0.00002200,0.00880320,0.00005502,,,,,11/4/2017 3:11:05 PM
bdf27fd1-02dd-4a82-9905-908c79194875,BTC-ERC,11/4/2017 3:13:35 PM,LIMIT_SELL,0.00005445,685.75979701,0.00000000,0.00009334,0.03733962,0.00005445,,,,,11/4/2017 3:13:35 PM
bc68f8f8-303e-4a52-859c-8b9b25524639,BTC-GOLOS,11/4/2017 3:28:39 PM,LIMIT_BUY,0.00002200,11138.42415000,0.00000000,0.00061260,0.24504532,0.00002200,False,,0.00000000,True,11/4/2017 3:28:39 PM
6e6e1856-f8f6-41d5-84f9-44ffff6d814b,BTC-ERC,11/4/2017 3:06:32 PM,LIMIT_SELL,0.00005623,200.00000000,0.00000000,0.00002811,0.01124600,0.00005623,,,,,11/4/2017 8:44:40 PM
56bdb09e-a3c6-473b-835f-a4b7e3da32bb,BTC-ERC,11/5/2017 4:33:14 AM,LIMIT_SELL,0.00005800,1000.00000000,0.00000000,0.00014500,0.05800000,0.000058,,,,,11/5/2017 4:30:01 PM
f867d21a-5fec-4182-805b-7092d9d69fc1,BTC-ERC,11/7/2017 6:15:26 AM,LIMIT_SELL,0.00008500,3599.68735335,0.00000000,0.00076493,0.30597341,0.00008500,,,,,11/7/2017 6:34:20 AM
a771e56d-8825-4f8e-854a-f649bc7ccec4,BTC-GOLOS,11/19/2017 4:52:14 PM,LIMIT_SELL,0.00001470,2079.03645238,0.00000000,0.00007640,0.03056421,0.00001470,False,,0.00000000,True,11/19/2017 4:52:14 PM
7805e0a4-fc40-4209-bf57-3ab5707d3ee2,BTC-FLO,11/20/2017 5:16:12 PM,LIMIT_SELL,0.00000866,4183.90823408,0.00000000,0.00009057,0.03623264,0.00000866,False,,0.00000000,True,11/20/2017 5:16:12 PM
