txid,refid,time,type,aclass,asset,amount,fee,balance
LR2SEI-J6OXB-DZV2J5,TSWIH2-5375T-XCKROH,2017-10-22 13:27:59,trade,currency,XXBT,-0.00536242,0,1.3186013
L35TQC-UGZQO-RV3ANX,TSWIH2-5375T-XCKROH,2017-10-22 13:27:59,trade,currency,ZEUR,26.7322,0.0428,913.6793
LGDQOU-X3VZR-N23ADP,T5UQ7K-OL6T4-HMIFAO,2017-10-22 13:28:11,trade,currency,XXBT,-0.00342175,0,1.31517955
L7XQWO-HGGCV-EP7EK7,T5UQ7K-OL6T4-HMIFAO,2017-10-22 13:28:11,trade,currency,ZEUR,17.0578,0.0273,930.7098
LSMB5K-SXYGB-DSVFG2,TX3ZR5-MLE2D-QJLZEA,2017-10-22 13:28:11,trade,currency,XXBT,-0.03706882,0,1.27811073
LGK2HU-JWI7Z-23JYNE,TX3ZR5-MLE2D-QJLZEA,2017-10-22 13:28:11,trade,currency,ZEUR,184.7918,0.2957,1115.2059
LDJF6A-NQVNF-YIHM67,TWY7PC-ADKFA-QNASLQ,2017-10-22 13:28:27,trade,currency,XXBT,-0.03669356,0,1.24141717
LFMWEB-4O37P-QAZDIK,TWY7PC-ADKFA-QNASLQ,2017-10-22 13:28:27,trade,currency,ZEUR,182.9211,0.2927,1297.8343
LPAEZK-N7NCQ-OXMRK2,TDESDL-M3CKB-XGD3Z3,2017-10-22 13:28:33,trade,currency,XXBT,-1.23920423,0,0.00221294
LEOWML-ILSLP-LSQRFR,TDESDL-M3CKB-XGD3Z3,2017-10-22 13:28:33,trade,currency,ZEUR,6177.557,9.8841,7465.5072
LFA7VL-A7AH2-E6ABU2,TM4Y3W-JRC3Z-ESHYFA,2017-10-22 15:22:19,trade,currency,XXBT,-0.02256958,5.868E-05,0.47958468
LM25CL-ISQ3Z-AH6Y5J,TM4Y3W-JRC3Z-ESHYFA,2017-10-22 15:22:19,trade,currency,ZEUR,114.7663,0,7580.2735
